,paragraf,inkraftdatum,length
0,Art. 1 4. Einführungsverordnung zum Handelsgesetzbuch,1946-01-02,1553.0
1,§ 125 Angelegenheiten der freiwilligen Gerichtsbarkeit,1946-01-01,120.0
2,§ 1 Befreiungsamnestie,1946-05-25,775.0
3,§ 2 Befreiungsamnestie,1946-05-25,1471.0
4,§ 3 Befreiungsamnestie,1946-05-25,2632.0
5,§ 4 Befreiungsamnestie,1946-05-25,467.0
6,§ 5 Befreiungsamnestie,1946-05-25,1634.0
7,§ 6 Befreiungsamnestie,1946-05-25,2432.0
8,§ 7 Befreiungsamnestie,1946-05-25,584.0
9,§ 8 Befreiungsamnestie,1946-05-25,274.0
10,§ 9 Befreiungsamnestie,1946-05-25,1151.0
11,§ 10 Befreiungsamnestie,1946-05-25,1923.0
12,§ 11 Befreiungsamnestie,1946-05-25,1426.0
13,§ 12 Befreiungsamnestie,1946-05-25,2072.0
14,§ 13 Befreiungsamnestie,1946-05-25,157.0
15,§ 14 Befreiungsamnestie,1946-05-25,686.0
16,§ 15 Befreiungsamnestie,1946-05-25,208.0
17,§ 15 Behörden-Überleitungsgesetz,1946-09-11,830.0
18,§ 16 Behörden-Überleitungsgesetz,1946-04-19,208.0
19,§ 28 Behörden-Überleitungsgesetz,1946-02-01,677.0
20,§ 40 Behörden-Überleitungsgesetz,1946-04-19,259.0
21,§ 80 Behörden-Überleitungsgesetz,1946-07-04,1316.0
22,§ 3 Devisengesetz,1946-09-15,709.0
23,§ 4 Devisengesetz,1946-09-15,327.0
24,§ 5 Devisengesetz,1946-09-15,1755.0
25,§ 6 Devisengesetz,1946-09-15,311.0
26,§ 7 Devisengesetz,1946-09-15,333.0
27,§ 8 Devisengesetz,1946-09-15,303.0
28,§ 9 Devisengesetz,1946-09-15,172.0
29,§ 10 Devisengesetz,1946-09-15,202.0
30,§ 11 Devisengesetz,1946-09-15,823.0
31,§ 12 Devisengesetz,1946-09-15,585.0
32,§ 13 Devisengesetz,1946-09-15,351.0
33,§ 14 Devisengesetz,1946-09-15,674.0
34,§ 15 Devisengesetz,1946-09-15,1474.0
35,§ 16 Devisengesetz,1946-09-15,1322.0
36,§ 18 Devisengesetz,1946-09-15,315.0
37,§ 19 Devisengesetz,1946-09-15,1108.0
38,§ 21 Devisengesetz,1946-09-15,798.0
39,§ 22 Devisengesetz,1946-09-15,789.0
40,§ 25 Devisengesetz,1946-09-15,193.0
41,§ 29 Devisengesetz,1946-09-15,1384.0
42,§ 30 Devisengesetz,1946-09-15,638.0
43,§ 31 Devisengesetz,1946-09-15,481.0
44,§ 32 Devisengesetz,1946-09-15,389.0
45,§ 33 Devisengesetz,1946-09-15,866.0
